Brand Name,Product Name,Rating,Rating Number,Price,Return/Exchange,Expected Delivery,Availability,Product URLs,Other Details
Wireless Bluetooth,"Infinity (JBL) Sonic B200WL, 160W Soundbar with Wireless Subwoofer, 2.1 Channel Home Theatre with Remote, Bluetooth, Optical Input, USB & AUX Connectivity (Black)",3.9 out of 5,"1,960 ratings",-,https://www.amazon.in/Infinity-B200WL-Channel-Bluetooth-Wireless/dp/B086Z933SS/ref=sr_1_1_sspa?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUFpUODc1T0VDMzRKJmVuY3J5cHRlZElkPUEwMjc2MDA0MVgzV1NBM1FQVFYwUCZlbmNyeXB0ZWRBZElkPUEwNTk5MDI0M1FWWUw3MkUxTEhSMyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Infinity-B200WL-Channel-Bluetooth-Wireless/dp/B086Z933SS/ref=sr_1_1_sspa?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUFpUODc1T0VDMzRKJmVuY3J5cHRlZElkPUEwMjc2MDA0MVgzV1NBM1FQVFYwUCZlbmNyeXB0ZWRBZElkPUEwNTk5MDI0M1FWWUw3MkUxTEhSMyZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=#,160W Peak Power Output Powerful Soundbar with Sub Woofer
Wireless Bluetooth,Yamaha SR-C20A Compact Sound Bar with Built-in Subwoofer and Bluetooth,4.5 out of 5,484 ratings,-,https://www.amazon.in/Yamaha-SR-C20A-Compact-Subwoofer-Bluetooth/dp/B08DZX69CY/ref=sr_1_2_sspa?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUFpUODc1T0VDMzRKJmVuY3J5cHRlZElkPUEwMjc2MDA0MVgzV1NBM1FQVFYwUCZlbmNyeXB0ZWRBZElkPUEwNzA3NDgyQVZPTlhMV0w5OFVGJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Yamaha-SR-C20A-Compact-Subwoofer-Bluetooth/dp/B08DZX69CY/ref=sr_1_2_sspa?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUFpUODc1T0VDMzRKJmVuY3J5cHRlZElkPUEwMjc2MDA0MVgzV1NBM1FQVFYwUCZlbmNyeXB0ZWRBZElkPUEwNzA3NDgyQVZPTlhMV0w5OFVGJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==#,Built-in subwoofer and passive radiators for surprising bass
"Wireless, Bluetooth, Auxiliary, USB",boAt Aavante Bar 1160 60 Watt 2.0 Channel Wireless Bluetooth Soundbar (Premium Black),4.1 out of 5,"9,551 ratings",-,https://www.amazon.in/Boat-1160-Bluetooth-Compatibility-Entertainment/dp/B086FCHZGZ/ref=sr_1_3?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-3#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Boat-1160-Bluetooth-Compatibility-Entertainment/dp/B086FCHZGZ/ref=sr_1_3?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-3#,Control your playback via easy operational controls and the remote control device
Wired,"boAt Aavante Bar 1500 2.1 Channel Home Theatre Soundbar with 120W boAt Signature Sound, Wired Subwoofer, Multiple Connectivity Modes, Entertainment EQ Modes and Sleek Finish (Black)",4.3 out of 5,"6,504 ratings",-,https://www.amazon.in/Bar-Wireless-Bluetooth-Soundbar-Subwoofer/dp/B07FPLKKCS/ref=sr_1_4?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-4#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Bar-Wireless-Bluetooth-Soundbar-Subwoofer/dp/B07FPLKKCS/ref=sr_1_4?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-4#,"Sound with 120 Watt rms and subwoofer The boAt AAVANTE bar comes with 120 watt RMS sound with a bassful subwoofer. The sound output feels real, thrilling bass provided by the 60Watt Subwoofer. Upgrade your music listening experience with the boAt Aavante Bar with down-firing subwoofer which provides bold sound to any seat in the room, giving you an audio experience you can truly hear and feel."
"Wireless, Bluetooth, Auxiliary, USB, HDMI","boAt AAVANTE Bar 1190 90W 2.2 Channel Bluetooth Soundbar, Built-in Active Subwoofers, Multiple Connectivity Modes, Entertainment Modes, Bluetooth V5.0(Premium Black)",4.2 out of 5,"3,661 ratings",-,https://www.amazon.in/Bluetooth-Soundbar-Subwoofers-Connectivity-Entertainment/dp/B08CNBD3PY/ref=sr_1_5?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-5#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Bluetooth-Soundbar-Subwoofers-Connectivity-Entertainment/dp/B08CNBD3PY/ref=sr_1_5?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-5#,"Its 2.2 Channel captivating sound gets you set for an alternate dimension, with an ethereal sound quality that adds colour to your audio as well as visual experience"
Wired,"boAt Aavante Bar 1500 2.1 Channel Home Theatre Soundbar with 120W boAt Signature Sound, Wired Subwoofer, Multiple Connectivity Modes, Entertainment EQ Modes and Sleek Finish (Black)",4.3 out of 5,"6,504 ratings",-,https://www.amazon.in/Bar-Wireless-Bluetooth-Soundbar-Subwoofer/dp/B07FPLKKCS/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B07FPLKKCS&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B07FPLKKCS&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Bar-Wireless-Bluetooth-Soundbar-Subwoofer/dp/B07FPLKKCS/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B07FPLKKCS&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B07FPLKKCS&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,"Sound with 120 Watt rms and subwoofer The boAt AAVANTE bar comes with 120 watt RMS sound with a bassful subwoofer. The sound output feels real, thrilling bass provided by the 60Watt Subwoofer. Upgrade your music listening experience with the boAt Aavante Bar with down-firing subwoofer which provides bold sound to any seat in the room, giving you an audio experience you can truly hear and feel."
Wireless Bluetooth,Sony HT-RT3 600 Watt Real 5.1 Channel Wireless Bluetooth Soundbar with Dolby (Black),4.5 out of 5,"3,278 ratings",-,https://www.amazon.in/Sony-HT-RT3-Digital-Soundbar-Theatre/dp/B01HXOUJOM/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B01HXOUJOM&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B01HXOUJOM&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,"Wednesday, Oct 20",In stock.,https://www.amazon.in/Sony-HT-RT3-Digital-Soundbar-Theatre/dp/B01HXOUJOM/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B01HXOUJOM&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B01HXOUJOM&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,"Dolby Audio : Enjoy dramatic, high-quality surround sound from 5.1 separate audio channels with Dolby Auduio"
HDMI-ARC,"Blaupunkt Germany's SBW100 120W Wired Soundbar with Subwoofer, Bluetooth and HDMI Arc",4 out of 5,"4,725 ratings",-,https://www.amazon.in/Blaupunkt-SBW-100-120Watts-Subwoofer-Bluetooth/dp/B07NSJWZ36/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B07NSJWZ36&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B07NSJWZ36&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Blaupunkt-SBW-100-120Watts-Subwoofer-Bluetooth/dp/B07NSJWZ36/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B07NSJWZ36&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B07NSJWZ36&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,Blaupunkt is an iconic German brand that has developed cutting edge audio technology since 1924. Today this legendary Audio Tech German brand is available in India with a superior quality range of Audio Products
Wireless Bluetooth,"Sony HT-S350 2.1Ch Dolby Digital Soundbar for TV with Wireless Subwoofer, 2.1Ch Home Theatre System(320w, Bluetooth & HDMI Connectivity,Wireless Connectivity with TV, S-Force Surround Sound)",4.5 out of 5,454 ratings,-,https://www.amazon.in/Sony-HT-S350-Wireless-2-1-Soundbar/dp/B07RBQY62N/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B07RBQY62N&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B07RBQY62N&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,-,"Currently unavailable.

We don't know when or if this item will be back in stock.",https://www.amazon.in/Sony-HT-S350-Wireless-2-1-Soundbar/dp/B07RBQY62N/ref=sxin_12?asc_contentid=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&creativeASIN=B07RBQY62N&cv_ct_cx=Sound+bars&cv_ct_id=amzn1.osa.36240d18-eb43-40f4-b68a-87f6d2e51a77.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&dchild=1&keywords=Sound+bars&linkCode=oas&pd_rd_i=B07RBQY62N&pd_rd_r=175618cb-9f0c-4c45-a25f-aebf0e0693b1&pd_rd_w=8Z7DQ&pd_rd_wg=y93yz&pf_rd_p=ad2dec93-45d4-46d7-9aa5-3db988563bfc&pf_rd_r=X381CTE70K4A21Y60RFR&qid=1634381628&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=timessyndicat-21#,"Dolby Audio:Enjoy dramatic, high-quality surround sound from 2.1 channels with Dolby Digital"
"Bluetooth, Auxiliary, USB",boAt Aavante Bar 1250 80 Watt 2.1 Channel Wireless Bluetooth Soundbar (Premium Black),4.3 out of 5,"2,523 ratings",-,https://www.amazon.in/Bluetooth-Signature-Subwoofer-Connectivity-Entertainment/dp/B08FX7HZTC/ref=sr_1_6?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-6#,"Tuesday, Oct 19",In stock.,https://www.amazon.in/Bluetooth-Signature-Subwoofer-Connectivity-Entertainment/dp/B08FX7HZTC/ref=sr_1_6?dchild=1&keywords=Sound+bars&qid=1634381628&sr=8-6#,"Its 2.1 Channel captivating sound gets you set for an alternate dimension, with an ethereal sound quality that adds colour to your audio as well as visual experience."
